parameter,value,status
seed,20260717,configuration
n_main,100,configuration
n_pool,200,configuration
peak_hour,2024-12-06 00:00:00,configuration
t_max,1500,configuration
no_change_stop,100,configuration
random_trials,500,configuration
sweep_trials,30,configuration
sweep_n_min,30,configuration
sweep_n_max,200,configuration
sweep_n_step,10,configuration
vram_capacity_gb_assumed,16.0,explicit_assumption
equivalent_capacity_tasks_assumed,80,explicit_assumption
memory_pressure_at_capacity_cost_assumed,5.0,explicit_assumption
edge_power_w_assumed,10.0,explicit_assumption
local_slowdown,1.8,configuration
local_energy_addition,0.4,configuration
tx_base_cost,0.15,configuration
prompt_tx_weight,0.15,configuration
radio_energy_mj_per_kb_assumed,0.2,explicit_assumption
request_metadata_kb_assumed,1.0,explicit_assumption
utf8_bytes_per_char_assumed,2.0,explicit_assumption
deepseek_model,deepseek-chat,configuration
llm_timeout_seconds,90.0,configuration
llm_retries,3,configuration
semantic_api_workers,4,configuration
queue_mu,4.693514462987063,fitted_proxy
queue_lambda,0.00029811036910452497,fitted_proxy
memory_alpha,5.808042805671807,fitted_from_empirical_tail
memory_beta,11.010905273684033,fitted_from_empirical_tail
